"dataset","eventname"
"MIT","GetStorageLensConfiguration"
"MIT","GetBucketPublicAccessBlock"
"MIT","GetBucketPolicyStatus"
"MIT","GetBucketAcl"
"MIT","GetBucketPublicAccessBlock"
"MIT","ListAccessPoints"
"MIT","GetBucketPublicAccessBlock"
"MIT","GetBucketAcl"
"MIT","GetBucketPolicyStatus"
"MIT","GetBucketAcl"
"MIT","GetBucketPolicyStatus"
"MIT","GetBucketPublicAccessBlock"
"MIT","GetBucketPolicyStatus"
"MIT","GetBucketAcl"
"MIT","GetBucketAcl"
"MIT","GetBucketPolicyStatus"
"MIT","ListAccessPoints"
"MIT","ListNotificationHubs"
"MIT","GetBucketLocation"
"MIT","GetBucketLogging"
"MIT","GetBucketAcl"
"MIT","GetBucketLocation"
"MIT","GetBucketLogging"
"MIT","GetBucketAcl"
"MIT","GetBucketLocation"
"MIT","ListUsers"
"MIT","GetAccountSummary"
"MIT","GetAccountAuthorizationDetails"
"MIT","ListHostedZones"
"CUSTOM","s3:PutObject"
"CUSTOM","s3:GetObject"
"CUSTOM","s3:ListBucket"
"CUSTOM","iam:ListUsers"
"CUSTOM","iam:CreateUser"
"CUSTOM","ec2:StartInstances"
"CUSTOM","ec2:StopInstances"
"CUSTOM","iam:GetRole"
"CUSTOM","s3:DeleteObject"
"CUSTOM","ec2:DescribeInstances"
